Year,GDP (current US$),GDP per capita (current US$),CO2 emissions (metric tons per capita),"Air transport, passengers carried","Railways, passengers carried (million passenger-km)","Railways, goods transported (million ton-km)"
1960.0,0.0,0.0,0.0,0.0,0.0,0.0
1961.0,0.0,0.0,0.0,0.0,0.0,0.0
1962.0,0.0,0.0,0.0,0.0,0.0,0.0
1963.0,0.0,0.0,0.0,0.0,0.0,0.0
1964.0,0.0,0.0,0.0,0.0,0.0,0.0
1965.0,0.0,0.0,0.0,0.0,0.0,0.0
1966.0,0.0,0.0,0.0,0.0,0.0,0.0
1967.0,0.0,0.0,0.0,0.0,0.0,0.0
1968.0,0.0,0.0,0.0,0.0,0.0,0.0
1969.0,0.0,0.0,0.0,0.0,0.0,0.0
1970.0,0.0,0.0,0.0,0.0,0.0,0.0
1971.0,0.0,0.0,0.0,0.0,0.0,0.0
1972.0,0.0,0.0,0.0,0.0,0.0,0.0
1973.0,0.0,0.0,0.0,0.0,0.0,0.0
1974.0,0.0,0.0,0.0,0.0,0.0,0.0
1975.0,0.0,0.0,0.0,0.0,0.0,0.0
1976.0,0.0,0.0,0.0,0.0,0.0,0.0
1977.0,0.0,0.0,0.0,0.0,0.0,0.0
1978.0,0.0,0.0,0.0,0.0,0.0,0.0
1979.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.0,0.0,0.0,0.0,0.0,0.0,0.0
1981.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0
1984.0,0.0,0.0,0.0,0.0,0.0,0.0
1985.0,0.0,0.0,0.0,0.0,0.0,0.0
1986.0,0.0,0.0,0.0,0.0,0.0,0.0
1987.0,0.0,0.0,0.0,0.0,0.0,0.0
1988.0,0.0,0.0,0.0,0.0,0.0,0.0
1989.0,0.0,0.0,0.0,0.0,0.0,0.0
1990.0,2256838858.0,637.8559212,5.610254358,0.0,0.0,0.0
1991.0,2069870130.0,590.5058756,5.902576393,0.0,0.0,0.0
1992.0,1272835453.0,369.7072323,3.163104664,0.0,0.0,0.0
1993.0,1201312829.0,357.2028486,1.498612445,0.0,0.0,0.0
1994.0,1315158637.0,400.5155938,0.83443373,0.0,0.0,0.0
1995.0,1468317435.0,456.3749333,1.090960291,0.0,0.0,0.0
1996.0,1596968946.0,504.0598426,0.811182834,0.0,0.0,0.0
1997.0,1639492445.0,523.2844107,1.066043297,358100.0,0.0,0.0
1998.0,1893726437.0,609.1716537,1.116225447,367800.0,84.0,381.0
1999.0,1845482173.0,597.4328988,1.006791798,365300.0,52.0,419.0
2000.0,1911563669.0,622.7409229,1.159761363,343100.0,46.0,323.0
2001.0,2118467913.0,694.4234554,1.180062452,298232.0,47.0,354.0
2002.0,2376335048.0,783.241215,1.028353553,369164.0,47.0,344.0
2003.0,2807061009.0,930.1254727,1.159732241,407777.0,48.0,452.0
2004.0,3576615240.0,1191.921006,1.253034693,366581.0,41.0,529.0
2005.0,4900469950.0,1643.756889,1.49601075,509904.0,30.0,678.0
2006.0,6384451606.0,2158.148074,1.517763067,555795.0,27.0,654.0
2007.0,9206301700.0,3139.28071,1.773161496,605817.0,28.0,668.0
2008.0,11662040714.0,4010.861381,1.956930336,560626.0,24.0,771.0
2009.0,8647936748.0,2994.340471,1.561583522,623688.0,24.0,705.0
2010.0,9260284938.0,3218.378299,1.508351191,653320.0,35.0,718.0
2011.0,10142111334.0,3525.807198,1.71734336,704753.0,50.0,743.0
2012.0,10619320049.0,3681.844691,1.9831921,392312.0,49.0,816.0
2013.0,11121465767.0,3838.17388,1.89812717,364733.0,53.0,867.0
2014.0,11609512940.0,3986.231624,1.881607731,45000.0,55.0,851.0
2015.0,10553337673.0,3607.289299,1.825292192,0.0,52.0,786.0
2016.0,10546135160.0,3591.828052,1.726752782,0.0,44.0,640.0
2017.0,11527458566.0,3914.527854,1.806581049,0.0,50.0,658.0
2018.0,12457941907.0,4220.540321,1.880246268,0.0,55.0,690.0
2019.0,13672802158.0,4622.738182,0.0,53259.0,0.0,0.0
2020.0,12645459214.0,4267.452119,0.0,193668.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
