Year,GDP (current US$),GDP per capita (current US$),CO2 emissions (metric tons per capita),"Air transport, passengers carried","Railways, passengers carried (million passenger-km)","Railways, goods transported (million ton-km)"
1960,0,0,0,0,0,0
1961,0,0,0,0,0,0
1962,0,0,0,0,0,0
1963,0,0,0,0,0,0
1964,0,0,0,0,0,0
1965,0,0,0,0,0,0
1966,0,0,0,0,0,0
1967,0,0,0,0,0,0
1968,0,0,0,0,0,0
1969,0,0,0,0,0,0
1970,0,0,0,0,0,0
1971,0,0,0,0,0,0
1972,0,0,0,0,0,0
1973,0,0,0,0,0,0
1974,0,0,0,0,0,0
1975,0,0,0,0,0,0
1976,0,0,0,0,0,0
1977,0,0,0,0,0,0
1978,0,0,0,0,0,0
1979,0,0,0,0,0,0
1980,0,0,0,0,0,0
1981,0,0,0,0,0,0
1982,0,0,0,0,0,0
1983,0,0,0,0,0,0
1984,0,0,0,0,0,0
1985,0,0,0,0,0,0
1986,0,0,0,0,0,0
1987,0,0,0,0,0,0
1988,0,0,0,0,0,0
1989,0,0,0,0,0,0
1990,2256838858,637.8559212,5.610254358,0,0,0
1991,2069870130,590.5058756,5.902576393,0,0,0
1992,1272835453,369.7072323,3.163104664,0,0,0
1993,1201312829,357.2028486,1.498612445,0,0,0
1994,1315158637,400.5155938,0.83443373,0,0,0
1995,1468317435,456.3749333,1.090960291,0,0,0
1996,1596968946,504.0598426,0.811182834,0,0,0
1997,1639492445,523.2844107,1.066043297,358100,0,0
1998,1893726437,609.1716537,1.116225447,367800,84,381
1999,1845482173,597.4328988,1.006791798,365300,52,419
2000,1911563669,622.7409229,1.159761363,343100,46,323
2001,2118467913,694.4234554,1.180062452,298232,47,354
2002,2376335048,783.241215,1.028353553,369164,47,344
2003,2807061009,930.1254727,1.159732241,407777,48,452
2004,3576615240,1191.921006,1.253034693,366581,41,529
2005,4900469950,1643.756889,1.49601075,509904,30,678
2006,6384451606,2158.148074,1.517763067,555795,27,654
2007,9206301700,3139.28071,1.773161496,605817,28,668
2008,11662040714,4010.861381,1.956930336,560626,24,771
2009,8647936748,2994.340471,1.561583522,623688,24,705
2010,9260284938,3218.378299,1.508351191,653320,35,718
2011,10142111334,3525.807198,1.71734336,704753,50,743
2012,10619320049,3681.844691,1.9831921,392312,49,816
2013,11121465767,3838.17388,1.89812717,364733,53,867
2014,11609512940,3986.231624,1.881607731,45000,55,851
2015,10553337673,3607.289299,1.825292192,0,52,786
2016,10546135160,3591.828052,1.726752782,0,44,640
2017,11527458566,3914.527854,1.806581049,0,50,658
2018,12457941907,4220.540321,1.880246268,0,55,690
2019,13672802158,4622.738182,0,53259,0,0
2020,12645459214,4267.452119,0,193668,0,0
,,,,,,
Year:,GDP (current US$):,,,,,
,#N/A,,,,,
